line_number,title,label,speaker,gender,year,score,word
12983,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,island
12983,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,granddad
12984,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,facing
12984,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,death
12985,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,boys
12985,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,illusions
12986,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,leavin
12986,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,island
12986,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,alive
12987,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,days
12987,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,japanese
12988,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,island
12988,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,22
12989,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,grandfather
12989,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,gunner
12989,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,air
12990,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,force
12990,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,transport
12990,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,named
12990,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,winocki
12991,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,met
12991,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,life
12992,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,deliver
12992,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,infant
12992,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,son
12993,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,flesh
12994,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,gold
12994,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
12994,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,days
12995,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,grandfather
12995,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,dead
12995,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,winocki
12996,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,word
12996,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,war
12997,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,paid
12997,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,visit
12998,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,grandmother
12998,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,delivering
12998,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,infant
12999,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,dad's
12999,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,gold
12999,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
13000,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
13000,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
13000,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,daddy's
13001,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,wrist
13001,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,shot
13002,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,hanoi
13002,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,captured
13003,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,vietnamese
13003,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,prison
13003,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,camp
13004,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,gooks
13004,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
13005,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,confiscated
13005,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,daddy
13006,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,looked
13006,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
13007,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,birthright
13007,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,damned
13008,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,slopeheads
13009,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,greasy
13009,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,yella
13009,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,hands
13009,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,boy's
13010,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,birthright
13010,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,hid
13011,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,hide
13011,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,somethin
13012,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,wore
13013,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
13014,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,died
13014,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,dysentery
13015,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
13015,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,hid
13015,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,uncomfortable
13015,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,hunk
13016,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,metal
13018,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,home
13018,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,family
13019,Pulp Fiction,speech,CAPT. KOONS,male,1994,8.9,watch
13033,Pulp Fiction,speech,KLONDIKE,male,1994,8.9,time
13035,Pulp Fiction,speech,BUTCH,male,1994,8.9,ready
13052,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,dan
13053,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,bloodiest
13053,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,hands
13054,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,brutal
13054,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,fight
13054,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,city
13063,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,coolidge
13063,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,faster
13064,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,victorious
13065,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,boxer
13065,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,vacate
13065,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,ring
13066,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,willis
13066,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,dead
13068,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,guess
13068,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,richard
13069,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,position
13070,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,frenzy
13070,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,eyes
13071,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,realization
13072,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,would've
13072,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,left
13072,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,ring
13073,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,fast
13082,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,feel
13082,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,ring
13082,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,death
13082,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,tragedy
13083,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,effect
13083,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,world
13084,Pulp Fiction,speech,SPORTSCASTER #1,male,1994,8.9,boxing
13086,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,dan
13086,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,tragedy
13087,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,shake
13087,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,world
13087,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,boxing
13088,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,foundation
13089,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,paramount
13089,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,importance
13090,Pulp Fiction,speech,SPORTSCASTER #2,male,1994,8.9,sad
