line_number,title,script,label,speaker,gender
20705,Fight Club,"suitcase - BOOM, BOOM, BOOM - behind him...",other,NO SPEAKER,NA
20706,Fight Club,INT. LOBBY,other,NO SPEAKER,NA
20707,Fight Club,"Jack hurries to the front door, his suitcase half-broken",other,NO SPEAKER,NA
20708,Fight Club,"open, passing the front desk.  A DESK CLERK calls after him.",other,NO SPEAKER,NA
20709,Fight Club,DESK CLERK,character,NO SPEAKER,NA
20710,Fight Club,Sir... sir?  Are you checking out?,speech,DESK CLERK,female
20711,Fight Club,JACK,character,NO SPEAKER,NA
20712,Fight Club,Yes.,speech,JACK,male
20713,Fight Club,"The clerk follows the length of the counter, waves a PAPER.",other,NO SPEAKER,NA
20714,Fight Club,DESK CLERK,character,NO SPEAKER,NA
20715,Fight Club,Please initial this list of phone,speech,DESK CLERK,female
20716,Fight Club,calls.,speech,DESK CLERK,female
20717,Fight Club,JACK,character,NO SPEAKER,NA
20718,Fight Club,Bill me!,speech,JACK,male
20719,Fight Club,"Jack goes out the door, freezes.  He rushes back in, going",other,NO SPEAKER,NA
20720,Fight Club,"to the desk -- snatches the bill, studies it: many NUMBERS.",other,NO SPEAKER,NA
20721,Fight Club,JACK,character,NO SPEAKER,NA
20722,Fight Club,Wait...when were these made?,speech,JACK,male
20723,Fight Club,DESK CLERK,character,NO SPEAKER,NA
20724,Fight Club,"It says right there, sir... between",speech,DESK CLERK,female
20725,Fight Club,two and three-thirty this morning.,speech,DESK CLERK,female
20726,Fight Club,"Jack looks at the clerk, at the bill, at the clerk.",other,NO SPEAKER,NA
20727,Fight Club,JACK,character,NO SPEAKER,NA
20728,Fight Club,I need a copy of this.,speech,JACK,male
20729,Fight Club,INT. AIRPLANE CABIN - IN FLIGHT - DAY,other,NO SPEAKER,NA
20730,Fight Club,"Jack stares out the window, his face set hard.",other,NO SPEAKER,NA
20731,Fight Club,JACK (V.O.),character,NO SPEAKER,NA
20732,Fight Club,Had I been going to bed earlier every,speech,JACK,male
20733,Fight Club,night?  Have I been sleeping later?,speech,JACK,male
